Actual Item Type,Contamination,IR Predicted Item,IR Confidence,SR Predicted Item,SR Confidence,Weight (kg)
2,12,1,85,2,77,0.323847245
1,3,1,81,1,85,0.500154209
2,66,2,82,2,87,0.329301593
2,55,2,80,3,67,0.331823416
1,43,1,79,1,76,0.504876187
1,39,1,81,1,83,0.501064661
2,47,2,77,2,86,0.325744221
3,80,3,82,3,76,0.07847625
1,77,1,79,1,76,0.501801717
2,35,2,71,2,81,0.320951229
1,33,1,94,1,80,0.503839891
2,33,2,78,2,79,0.334026874
3,30,2,76,3,72,0.075151508
2,57,2,87,2,78,0.329764208
1,41,1,76,1,79,0.50883705
2,39,2,84,2,73,0.330136531
1,36,1,93,1,78,0.506660067
2,9,2,69,2,68,0.333097866
2,15,2,68,2,84,0.325598948
1,5,1,84,1,76,0.500738269
2,33,2,68,2,70,0.320942275
1,59,1,91,1,84,0.503991005
2,16,2,86,2,76,0.326275109
2,67,2,76,2,69,0.322851711
2,3,2,80,2,88,0.32283632
3,8,3,72,3,81,0.078164253
3,26,3,75,3,68,0.075329227
1,24,1,89,1,81,0.50878542
3,64,3,71,3,75,0.076937854
3,46,3,86,3,85,0.076878275
1,49,1,84,1,76,0.501145064
2,79,1,79,1,91,0.324707608
2,79,2,78,2,80,0.322738409
3,57,3,70,3,69,0.077098962
1,49,1,75,1,89,0.501542327
1,0,1,88,1,80,0.501521713
1,63,1,80,1,86,0.504384493
3,77,3,72,3,78,0.079327727
2,0,1,78,2,74,0.334364807
2,22,2,79,2,79,0.332229719
3,25,3,77,3,75,0.075227817
3,15,3,77,3,81,0.078465604
1,24,1,83,1,84,0.506044101
2,75,2,87,2,77,0.32844276
2,70,2,83,2,82,0.325018592
3,5,3,82,3,74,0.075919532
3,0,3,77,3,79,0.075171609
2,4,2,72,3,86,0.324835111
3,3,3,81,3,85,0.079701586
1,2,1,92,1,84,0.505755436
1,62,1,77,3,78,0.500361727
3,36,3,78,3,85,0.075769209
1,53,1,79,1,78,0.503671772
2,47,2,76,2,87,0.32997035
3,35,3,70,3,81,0.079769168
2,68,2,73,2,77,0.334134999
1,17,1,77,2,84,0.507520342
2,77,2,80,2,70,0.323446138
1,24,1,86,1,95,0.503579619
2,12,2,69,2,76,0.329557744
2,42,2,78,2,72,0.324267849
3,32,3,67,3,76,0.077243381
3,12,3,67,3,84,0.075061879
2,3,2,79,2,82,0.322805739
3,10,3,87,3,82,0.079404849
3,43,3,78,3,82,0.079587292
1,59,1,91,3,79,0.506243856
1,45,1,86,1,85,0.502387303
2,57,2,86,2,84,0.329878081
3,47,3,83,3,79,0.076242691
3,58,3,74,3,67,0.07526637
2,45,2,74,2,87,0.326488083
1,43,1,87,1,75,0.501456888
3,30,3,86,3,86,0.077671913
3,59,3,69,3,72,0.076144675
3,47,1,88,3,70,0.078978182
3,35,3,87,3,71,0.077704959
3,71,3,72,3,85,0.078729286
3,0,3,73,1,81,0.075879992
2,15,2,79,2,71,0.327038428
3,12,3,81,3,77,0.079823189
2,79,2,82,2,68,0.32052363
2,21,2,82,2,71,0.320612716
2,32,2,79,2,74,0.322077996
3,55,3,77,3,75,0.078286321
3,9,3,67,3,68,0.075742395
1,18,1,93,2,74,0.501427586
3,72,3,69,3,76,0.079470106
3,41,3,69,3,84,0.076672588
2,67,2,72,2,70,0.325311213
1,77,1,80,1,94,0.507462213
2,55,2,69,2,84,0.331784215
2,1,2,68,2,70,0.325605391
3,20,3,80,1,81,0.079655607
3,39,3,70,3,67,0.07815163
1,41,1,90,1,90,0.500236683
3,8,3,73,3,82,0.076417887
2,32,2,73,2,72,0.321836764
1,62,1,84,1,95,0.5073455
2,70,2,80,2,80,0.333438507
3,65,2,74,2,76,0.078469555
2,69,2,68,2,78,0.334960185
1,15,1,75,1,81,0.506451738
2,4,2,79,2,68,0.331163035
2,38,2,82,3,72,0.323760461
2,4,2,80,1,89,0.3269775
1,2,1,86,1,91,0.500914755
2,17,3,70,2,72,0.320062658
3,6,3,81,3,69,0.079094869
3,19,3,68,3,84,0.079568921
3,6,3,85,1,89,0.076822815
3,53,3,77,3,87,0.07889828
3,32,3,76,3,72,0.07633215
1,75,1,80,3,75,0.50109
2,66,2,73,2,85,0.333999484
1,60,1,80,1,93,0.502056291
2,24,2,78,1,88,0.329627492
3,41,3,75,3,80,0.077676744
3,57,3,80,3,83,0.075547276
1,72,1,85,1,84,0.505471096
1,15,1,89,1,77,0.508367737
1,16,1,81,1,92,0.501296679
1,18,1,83,1,83,0.504451528
1,29,1,82,1,95,0.508902068
2,23,2,84,2,84,0.32005108
2,59,2,76,2,83,0.32338449
1,65,1,91,1,80,0.507570797
3,4,3,72,3,82,0.075496782
1,32,1,93,1,89,0.504354451
3,2,3,68,3,69,0.077227296
1,23,1,78,1,86,0.508679961
2,37,2,79,2,84,0.326362321
1,47,1,75,1,89,0.503153259
3,20,3,78,3,71,0.079736665
2,51,2,85,2,74,0.323115839
1,35,1,86,1,86,0.508421676
1,31,1,92,1,89,0.50151432
2,25,2,72,2,78,0.32565126
3,28,1,80,3,75,0.076162616
2,63,2,73,2,82,0.321181751
2,76,2,76,2,84,0.320987261
1,48,1,76,3,80,0.507512209
2,52,2,69,2,85,0.320115624
2,72,2,88,2,69,0.320689698
3,71,3,87,3,74,0.075408484
2,35,2,69,2,78,0.321031361
3,18,3,86,3,82,0.075299881
2,73,2,85,2,78,0.331820248
2,17,2,75,2,79,0.322027214
1,45,1,90,1,82,0.508117964
