Actual Item Type,Contamination,IR Predicted Item,IR Confidence,SR Predicted Item,SR Confidence,Weight (kg)
3,45,3,77,3,72,0.079110119
3,19,3,86,3,68,0.07846209
1,80,1,91,1,84,0.501045993
1,11,1,86,1,75,0.501244751
2,7,2,69,2,82,0.328956579
2,38,2,87,3,86,0.320921656
2,27,2,73,1,85,0.321583089
3,42,3,72,3,69,0.079397747
3,4,3,70,3,79,0.075205882
3,47,3,73,3,86,0.076419516
2,26,2,82,2,78,0.33346932
1,44,1,80,2,76,0.504088711
2,59,2,72,2,88,0.334570168
2,42,2,68,2,69,0.334609698
1,59,1,85,1,90,0.506872165
3,73,3,81,2,79,0.078078999
1,77,1,79,1,93,0.503169566
3,75,3,69,2,84,0.077754872
1,32,1,94,1,88,0.50731753
1,42,1,80,1,84,0.505762162
1,75,1,93,2,70,0.503432305
2,55,2,85,2,83,0.323867062
2,37,2,81,2,69,0.322018233
1,75,1,92,2,74,0.501709647
1,54,1,88,1,93,0.503989798
2,80,2,86,2,70,0.327367286
3,48,3,76,3,75,0.077967785
2,62,2,78,3,68,0.329874523
1,52,1,75,1,86,0.506376251
1,78,1,80,1,78,0.505968116
3,65,3,68,3,82,0.077163334
2,19,2,81,2,88,0.329593021
2,31,1,86,1,78,0.33066993
2,3,2,82,2,82,0.334587984
3,45,3,69,3,77,0.076343037
2,67,2,82,1,95,0.324810004
3,37,3,87,3,84,0.075787247
2,18,2,70,2,68,0.33222285
2,19,2,78,2,74,0.32336551
3,15,2,80,3,85,0.078493691
2,58,2,70,2,81,0.333083146
2,35,1,81,2,77,0.332295211
2,2,2,87,2,84,0.327152747
2,12,2,78,2,70,0.331921863
2,48,3,80,3,79,0.323011242
2,17,2,68,2,80,0.331349235
2,30,2,88,2,75,0.329679726
1,10,1,93,1,91,0.502689072
3,43,3,71,3,81,0.079825452
2,66,2,84,2,78,0.324351073
3,52,3,80,3,72,0.078725446
3,16,3,79,1,95,0.079168937
1,36,1,81,2,71,0.503337969
2,80,2,81,2,88,0.322559716
3,37,3,69,3,87,0.075939588
2,19,2,70,2,69,0.327078749
2,24,2,79,2,73,0.321356957
2,45,2,73,3,68,0.326832023
2,58,2,74,2,83,0.323991
1,30,1,91,3,83,0.502778589
2,34,2,76,2,88,0.327544334
3,45,3,76,3,76,0.079019287
2,5,2,87,2,72,0.332589359
1,76,3,73,1,90,0.503970016
2,46,2,69,2,74,0.329141997
3,46,3,74,3,79,0.076647478
1,34,1,91,1,95,0.505092877
3,73,3,73,1,84,0.077343495
3,50,3,71,3,70,0.077773178
2,66,1,76,2,70,0.327790387
2,61,2,76,2,85,0.324728152
2,51,2,81,1,86,0.330778898
2,15,2,69,2,76,0.330598121
1,80,1,75,1,80,0.501629228
3,73,3,87,1,88,0.076895637
1,72,1,76,1,79,0.501650725
3,8,3,75,3,67,0.077000014
1,24,1,94,1,94,0.507155735
2,41,2,84,2,80,0.323926071
2,24,2,68,2,86,0.321699801
2,79,3,84,3,73,0.331809012
2,29,2,87,2,69,0.334844276
3,39,3,67,2,68,0.078040234
3,53,3,80,2,69,0.078187967
2,75,3,72,2,78,0.324574532
1,54,1,85,1,95,0.507443368
3,40,3,73,3,73,0.075440884
2,21,2,78,2,81,0.321681483
2,22,2,68,1,75,0.334988419
2,2,2,86,1,90,0.322469601
3,1,3,84,3,85,0.07577482
1,70,1,91,1,92,0.503984162
1,33,1,85,1,91,0.508473509
2,55,2,76,2,88,0.33451929
1,52,1,76,1,95,0.508169882
1,21,1,82,1,79,0.505739447
1,34,1,75,1,90,0.504145398
1,10,3,78,1,83,0.50607317
1,0,1,77,1,81,0.503968367
3,76,3,77,3,72,0.077167864
2,32,2,75,2,81,0.33445732
2,63,2,80,2,81,0.334628997
1,17,1,83,1,83,0.50395181
3,34,3,68,3,85,0.077589285
1,8,1,80,2,75,0.50716145
2,7,2,75,3,83,0.332148184
3,29,3,69,2,84,0.075925079
3,63,3,74,3,87,0.076430151
1,41,1,85,1,89,0.508401549
2,76,2,68,3,87,0.327939673
2,34,2,72,1,86,0.320968099
3,55,3,76,3,71,0.076595184
3,49,3,81,3,84,0.075163306
3,15,3,79,3,69,0.078426239
3,76,3,76,3,81,0.07873275
1,56,1,85,1,77,0.500661357
1,48,1,77,1,80,0.507334627
1,19,1,92,3,81,0.50506691
2,59,2,77,2,84,0.326965281
1,10,1,90,2,78,0.508961847
3,26,3,68,2,74,0.076779993
3,11,1,91,3,72,0.076579265
1,35,1,90,1,85,0.508378254
3,70,3,67,3,81,0.075165555
3,31,3,73,2,79,0.077856996
2,34,2,81,2,79,0.332482612
1,11,1,85,1,79,0.500332597
1,20,1,92,1,94,0.507567924
1,77,1,92,2,84,0.501227731
3,16,3,83,3,78,0.078945123
1,20,1,88,1,86,0.506512283
3,11,1,86,3,68,0.076387467
1,7,1,81,2,71,0.503911314
3,57,3,81,3,75,0.079585857
2,77,2,82,2,77,0.333976319
2,66,2,83,2,86,0.327743044
2,9,2,74,2,74,0.330817793
3,32,3,72,3,82,0.075932261
1,41,1,91,2,70,0.507882771
3,52,3,75,3,71,0.079947927
2,31,2,75,3,82,0.326201064
3,23,3,75,3,79,0.079000676
2,58,2,74,2,87,0.328352491
3,70,3,67,2,71,0.076045667
1,70,1,87,1,84,0.507018802
3,3,3,67,1,89,0.07694056
1,46,1,76,1,91,0.505745334
1,14,1,80,1,81,0.504700175
2,0,2,83,3,68,0.326901892
2,47,2,72,3,79,0.323955065
