Actual Item Type,Contamination,IR Predicted Item,IR Confidence,SR Predicted Item,SR Confidence,Weight (kg)
2,74,1,85,2,73,0.330820946
3,32,3,74,3,68,0.077314935
3,23,3,69,3,78,0.078952305
1,45,1,78,1,82,0.500439006
1,36,2,81,1,89,0.501867803
3,66,3,71,3,85,0.079543298
2,27,2,73,2,75,0.334087117
2,0,2,69,2,73,0.327063536
3,52,2,69,3,78,0.079259016
3,25,3,87,3,72,0.077028948
2,4,2,86,2,74,0.323692429
3,30,3,71,3,83,0.079905145
2,27,2,87,2,88,0.323273254
3,18,1,91,3,84,0.079019711
1,28,1,86,1,81,0.507498227
2,73,2,72,2,81,0.334831579
2,29,2,87,2,81,0.332691839
1,43,1,94,1,83,0.503924922
2,39,2,85,2,71,0.330572174
1,52,1,75,1,84,0.50678445
2,69,2,79,2,69,0.323116653
3,56,3,69,2,83,0.078767721
3,11,1,87,3,75,0.076966333
1,13,3,74,3,76,0.508682106
3,29,3,69,2,79,0.077870892
2,19,2,78,2,70,0.325662109
3,62,3,86,3,67,0.078666966
2,49,2,69,3,74,0.329348163
1,57,2,71,2,73,0.508814085
1,67,1,92,1,85,0.503010572
3,30,3,85,3,84,0.077043789
2,34,2,71,2,86,0.332992623
1,33,1,91,1,83,0.505422746
2,4,2,68,2,78,0.334706
1,70,1,95,1,85,0.504240813
1,36,1,86,1,92,0.507003734
3,30,2,69,3,83,0.077787435
3,68,3,85,3,78,0.076880043
1,77,1,95,1,86,0.502060947
3,45,3,73,3,75,0.077878186
1,6,1,75,1,87,0.501020507
1,15,1,94,1,77,0.502612977
2,26,2,87,2,72,0.32257445
3,29,1,77,1,80,0.075176195
2,63,2,83,2,69,0.327396662
1,52,3,67,1,81,0.501263577
1,60,1,85,1,90,0.504725484
2,30,2,74,2,71,0.327032014
1,25,1,82,3,83,0.502004512
1,44,2,88,1,77,0.508425345
1,66,1,89,1,76,0.505922726
3,7,3,71,3,81,0.077368245
1,22,1,87,1,83,0.501980763
1,26,1,95,1,80,0.500895013
2,22,1,85,2,86,0.334531256
3,59,3,71,3,72,0.077027929
3,55,3,84,3,83,0.075070932
2,2,3,87,2,83,0.332521682
1,15,1,83,2,71,0.504048367
3,15,3,79,2,74,0.077794732
3,80,3,77,3,87,0.07651002
3,40,3,87,3,77,0.076773783
3,7,3,80,3,85,0.076257575
1,62,2,86,1,82,0.50327091
3,32,3,73,3,79,0.078615549
1,47,1,92,1,82,0.508979642
3,65,3,75,3,80,0.075983147
1,5,1,85,1,95,0.501753058
1,4,1,90,3,85,0.503494426
2,60,2,75,2,83,0.325709911
2,55,2,71,2,84,0.322712253
1,58,1,80,1,80,0.501330992
1,32,1,82,1,84,0.500550959
3,59,3,83,3,79,0.078683945
2,47,2,85,2,77,0.324026669
2,58,1,85,1,85,0.33337314
2,58,2,85,2,72,0.333741335
3,69,3,79,3,73,0.079065088
1,4,1,77,1,84,0.503885708
1,7,2,82,1,79,0.502614952
1,71,1,88,1,79,0.508163043
3,15,3,69,3,78,0.078561575
1,64,1,88,1,83,0.503865488
3,24,3,73,2,68,0.079711186
2,34,2,70,2,81,0.329272743
2,6,1,87,1,93,0.331545809
2,48,2,69,2,87,0.327707248
1,8,1,75,1,89,0.507606307
1,20,1,87,1,88,0.507383262
3,31,3,73,3,87,0.078445983
1,16,1,91,1,80,0.503843148
1,49,1,91,1,92,0.504902942
1,71,1,90,1,83,0.504642521
1,54,1,95,1,86,0.500670409
2,5,2,85,2,76,0.334081652
3,79,3,76,3,77,0.075288231
1,28,1,81,1,77,0.505182676
1,24,3,81,1,75,0.50259938
3,3,1,90,1,83,0.076305513
2,23,2,71,2,80,0.32437384
1,32,3,74,1,88,0.508838155
3,68,2,76,3,76,0.07559203
3,47,1,85,3,85,0.077246183
3,78,3,78,3,70,0.077747745
1,79,2,87,2,88,0.501140981
2,46,2,82,2,76,0.32845271
2,30,2,79,2,81,0.326700634
2,43,2,71,2,78,0.33373863
1,22,1,87,1,89,0.508045612
3,27,3,78,3,76,0.078482528
1,74,1,90,1,83,0.502081489
1,13,1,88,1,81,0.504225525
3,3,3,72,3,77,0.076879548
3,42,3,85,3,77,0.076528725
1,63,1,88,1,90,0.505676387
1,56,1,89,1,79,0.500753523
2,27,2,75,2,74,0.334846113
1,79,1,90,1,91,0.507043811
2,49,2,73,2,77,0.329975299
3,29,3,78,3,84,0.077749292
2,69,2,68,2,78,0.321633577
3,0,3,85,3,87,0.079155879
3,38,3,85,2,72,0.075724874
1,14,3,83,1,88,0.507552814
2,50,1,86,2,79,0.321469728
1,8,3,83,1,78,0.502277719
1,37,2,77,1,85,0.501735119
1,47,1,82,1,82,0.505629068
3,77,3,77,3,84,0.077714579
1,67,1,83,1,76,0.508737897
3,21,3,87,3,68,0.078354644
2,33,2,70,2,74,0.324500004
1,34,1,80,1,77,0.507557312
2,6,2,68,2,75,0.321715865
1,76,1,86,1,76,0.505398971
3,3,3,85,3,87,0.075312691
1,32,2,73,1,83,0.501840964
1,59,1,81,1,84,0.507062381
3,21,3,85,3,86,0.079794037
1,73,1,77,1,85,0.501722355
3,32,3,80,3,86,0.075844488
1,68,1,79,2,78,0.505120372
2,41,2,70,1,80,0.327065473
3,34,2,81,3,87,0.075920369
3,10,3,83,3,68,0.078878599
3,14,3,67,3,74,0.075693058
2,11,2,82,2,79,0.326188603
2,54,2,68,2,73,0.329673199
2,4,2,87,2,80,0.332180819
1,18,1,81,1,87,0.503211478
