Actual Item Type,Contamination,IR Predicted Item,IR Confidence,SR Predicted Item,SR Confidence,Weight (kg)
2,14,2,85,2,72,0.329214658
1,27,1,95,1,88,0.503302956
1,17,1,78,1,76,0.505463411
1,61,1,86,1,88,0.506763692
3,9,3,77,3,84,0.075234685
2,36,2,69,2,69,0.329516182
2,72,2,81,2,78,0.323337845
2,32,1,77,1,95,0.333254676
1,50,1,75,1,85,0.502727251
2,55,2,86,2,81,0.332938207
2,77,2,70,2,77,0.334519431
1,35,1,90,1,78,0.505796209
3,72,3,80,3,70,0.079295204
1,67,1,86,1,91,0.500331608
2,80,2,70,2,74,0.321517618
2,59,2,68,3,69,0.332401844
3,17,3,86,3,75,0.077365961
2,57,2,82,2,86,0.322814077
1,40,1,84,1,91,0.50277781
3,49,2,86,3,80,0.075392849
2,12,3,76,2,80,0.327805915
1,29,1,89,1,88,0.500637898
3,72,3,85,3,75,0.076084186
2,39,2,88,1,76,0.327533497
1,34,1,87,1,94,0.504757646
1,32,1,76,1,92,0.508591659
2,11,2,86,2,75,0.325709244
1,49,1,85,1,75,0.508444434
1,46,2,82,1,75,0.503216072
2,17,2,87,2,81,0.3234552
1,57,1,75,1,94,0.500828088
1,55,1,85,1,92,0.502139121
1,4,1,83,1,83,0.502096089
1,16,1,79,1,80,0.508437781
2,7,2,82,3,69,0.328684964
3,75,3,76,3,79,0.076080731
1,60,3,75,1,83,0.504536792
3,19,3,77,2,79,0.076859675
3,53,3,87,3,74,0.076364833
1,80,2,71,2,82,0.508438173
1,66,3,85,1,81,0.504229422
3,13,3,74,3,83,0.07552268
2,36,2,72,2,85,0.331095035
1,32,1,84,1,77,0.500810455
2,9,2,73,2,86,0.32032659
1,35,2,86,1,79,0.501694203
3,76,3,76,1,94,0.07819277
1,10,1,91,1,89,0.506198206
1,73,1,81,1,80,0.505230911
2,79,2,72,2,74,0.32280861
3,34,3,77,3,81,0.078244136
3,8,3,83,3,79,0.076172958
1,64,3,71,1,91,0.501030474
2,14,2,81,2,75,0.322687448
1,6,1,75,1,88,0.50872247
1,75,1,85,1,82,0.506526427
1,69,1,84,1,90,0.503881607
1,63,2,70,1,92,0.501600272
3,46,3,72,3,81,0.07854501
1,27,1,85,1,79,0.503631553
3,58,2,82,3,87,0.075578113
2,6,2,77,3,77,0.329261873
1,30,1,83,1,84,0.506176641
1,44,1,78,1,85,0.501041605
2,77,2,75,2,82,0.332003292
2,47,2,87,2,77,0.326389719
2,72,2,73,2,70,0.327293323
2,11,2,76,2,83,0.334846425
3,7,3,71,3,79,0.075770398
3,21,3,84,3,77,0.075813692
2,31,2,71,2,80,0.32405321
1,58,1,83,1,77,0.502776699
2,33,2,71,2,87,0.331518971
2,24,2,83,2,73,0.323913711
3,54,3,82,3,74,0.07593041
2,69,3,68,3,82,0.320860459
2,69,2,72,2,86,0.323377096
2,60,2,79,2,77,0.325280215
2,20,1,91,2,87,0.327186011
3,40,3,67,3,87,0.075376189
2,70,2,78,2,88,0.331134975
2,22,2,82,1,86,0.333907858
1,29,1,85,1,85,0.50432683
3,12,3,70,3,70,0.078541142
3,38,3,78,3,77,0.079858165
3,29,3,70,3,82,0.076258129
2,9,2,81,2,84,0.324694273
2,77,3,81,3,83,0.323176225
3,40,3,72,2,76,0.07876891
2,4,2,72,2,73,0.333238442
3,63,3,81,3,75,0.076529436
3,68,3,75,3,71,0.076594883
3,66,3,72,3,68,0.077580693
1,62,2,83,2,82,0.503133086
1,52,1,94,1,82,0.504438029
1,70,2,79,1,90,0.508931866
2,53,2,78,2,77,0.321900867
3,26,3,86,3,68,0.076168478
3,56,3,75,3,79,0.079598667
3,7,3,73,3,69,0.077391831
2,72,2,86,2,76,0.320929932
3,76,3,80,3,67,0.079337431
1,2,1,80,1,78,0.508772895
1,63,1,85,3,74,0.502855799
2,46,2,80,2,70,0.320425247
3,46,3,77,3,80,0.078508129
2,1,1,78,2,73,0.325022154
2,22,2,68,2,76,0.327325066
2,66,2,68,2,80,0.321624935
2,72,2,75,2,86,0.321666757
3,31,3,83,3,74,0.077391569
2,79,3,67,2,69,0.332703681
3,23,3,78,2,72,0.075756036
2,12,2,82,2,76,0.331424582
3,36,2,84,3,81,0.07677722
1,73,1,86,1,81,0.50392474
2,56,2,81,2,70,0.331892567
2,59,2,73,1,85,0.330572262
3,21,3,84,1,84,0.075870962
2,5,2,82,2,78,0.332185108
1,80,1,75,1,87,0.500283166
3,46,3,70,3,85,0.079113927
3,73,3,82,3,70,0.079146108
1,15,1,85,1,77,0.501044807
1,24,1,90,1,80,0.507093592
2,18,2,69,2,82,0.326458849
3,2,3,85,2,81,0.076862237
3,58,3,81,3,82,0.078547657
2,30,2,81,2,88,0.331348802
2,31,2,87,2,83,0.331896916
2,79,1,80,2,85,0.327174079
1,26,2,82,1,94,0.504596353
1,55,1,82,1,90,0.500025588
1,67,1,89,1,93,0.501685184
2,25,2,77,2,72,0.334717576
3,73,3,86,3,83,0.07597104
3,17,1,75,1,86,0.079254369
2,70,3,67,2,71,0.334034522
3,35,3,73,2,77,0.079748666
1,77,1,93,3,70,0.500026927
2,73,2,70,2,85,0.334514696
3,68,3,73,3,69,0.079949787
3,61,3,72,1,75,0.078126584
3,58,1,85,3,78,0.078802733
3,46,2,88,3,71,0.078567483
2,76,2,78,2,79,0.327476955
2,38,1,91,2,77,0.334124425
3,76,3,76,1,87,0.07943424
3,7,3,84,2,88,0.075944647
2,50,2,83,2,75,0.327425703
