Actual Item Type,Contamination,IR Predicted Item,IR Confidence,SR Predicted Item,SR Confidence,Weight (kg)
3,29,2,69,2,81,0.079892718
2,79,2,77,2,78,0.324944142
1,10,1,76,2,80,0.506609093
2,48,2,81,1,77,0.330262042
2,53,2,76,2,83,0.32663172
3,55,3,76,3,68,0.07969577
1,34,1,92,1,82,0.505416179
2,19,2,69,2,77,0.332542097
2,40,2,74,2,83,0.332541454
1,34,1,88,1,89,0.508942269
2,68,2,69,1,84,0.328365463
2,11,2,71,2,71,0.324594548
1,46,1,89,3,85,0.505404722
1,2,1,86,1,75,0.508160086
1,63,1,79,1,77,0.500245776
1,80,1,94,2,86,0.508465168
3,5,3,82,1,81,0.078630242
1,65,1,80,1,85,0.502174972
3,37,1,88,1,89,0.078439236
1,47,1,75,1,83,0.505116034
1,37,1,92,1,75,0.507820367
1,64,1,75,1,78,0.502268972
3,80,3,82,3,68,0.078352028
2,11,2,83,2,68,0.324381523
3,60,3,87,3,68,0.07646165
3,73,3,81,1,86,0.07512446
1,12,3,74,1,89,0.500070954
3,12,3,68,3,69,0.079947225
3,44,3,71,3,72,0.075706782
1,49,1,76,1,89,0.503337843
1,6,2,73,1,82,0.502919758
3,55,3,73,3,73,0.076934004
3,17,3,85,3,75,0.078420264
1,76,1,92,1,85,0.500930552
1,49,1,75,1,80,0.508258922
2,39,1,92,2,69,0.331913088
3,1,3,73,1,75,0.076041204
3,27,1,91,3,86,0.075537121
2,16,2,86,3,75,0.330600547
3,45,3,70,3,73,0.075166219
2,66,1,82,1,82,0.327124239
1,15,2,71,1,85,0.506298672
1,51,1,81,1,79,0.502508756
1,77,1,94,2,73,0.502759962
2,54,2,73,2,81,0.329776796
2,80,2,74,2,80,0.333228637
2,40,2,83,2,69,0.329370044
3,80,2,69,3,77,0.079939275
3,28,3,81,3,67,0.075216502
2,34,2,76,2,84,0.327696469
3,18,3,80,3,85,0.079700513
2,65,2,79,2,75,0.325831252
1,58,1,94,1,76,0.507099693
3,33,3,70,3,80,0.07973254
3,34,3,74,3,70,0.079968214
3,55,3,85,3,87,0.076362278
3,60,3,69,2,76,0.076294375
3,48,3,84,3,68,0.077844421
3,27,3,80,3,74,0.079451456
3,31,1,84,3,77,0.078283713
3,77,3,87,3,77,0.078063617
3,5,3,80,3,84,0.078804013
2,9,2,81,2,79,0.320096133
1,5,1,92,1,89,0.500221994
3,56,3,80,3,86,0.07846487
1,26,1,85,1,89,0.507917711
1,17,1,88,1,76,0.508430478
2,30,2,82,2,85,0.328924186
1,21,2,87,1,79,0.501064261
3,47,3,80,3,72,0.075123609
1,32,1,83,3,86,0.500761561
3,37,3,76,3,83,0.079138947
3,21,3,81,3,70,0.076124558
1,28,1,88,1,81,0.508800453
1,30,1,88,3,68,0.502778239
1,77,1,81,1,87,0.505354665
2,9,3,81,2,78,0.321793639
1,63,1,95,1,80,0.505995675
3,20,3,72,3,82,0.0776019
1,30,3,72,1,95,0.505840629
2,60,2,84,2,68,0.322838701
1,38,1,95,1,89,0.504833266
2,31,2,70,2,72,0.32023176
3,38,3,73,3,67,0.078228833
2,35,2,87,2,69,0.320434058
3,33,3,67,3,84,0.075594381
3,60,3,82,2,74,0.075090793
1,38,3,87,3,68,0.503729407
3,73,2,69,3,81,0.07927574
2,60,2,69,1,83,0.332875555
1,13,1,87,1,80,0.50696832
3,44,3,86,3,78,0.077259755
3,31,3,75,3,78,0.077915364
2,12,2,87,2,69,0.324509419
2,28,2,78,2,83,0.321658784
1,74,1,91,1,91,0.50772605
1,11,1,92,1,80,0.504280057
1,26,1,77,1,77,0.501371559
2,47,2,78,2,87,0.320842851
1,43,1,91,1,86,0.502749017
1,39,1,80,1,84,0.507647174
1,11,1,95,1,83,0.502705792
2,51,2,77,2,83,0.325166376
2,46,2,75,2,84,0.320770704
3,44,3,75,3,84,0.075537796
3,11,3,75,3,72,0.075571203
3,35,3,84,1,80,0.078765056
1,14,1,81,1,79,0.502130593
2,64,2,68,1,80,0.330860139
2,75,1,91,2,68,0.321342443
3,50,3,70,3,71,0.075311939
2,26,2,81,2,77,0.324943482
3,70,3,81,1,86,0.075955264
3,58,3,81,3,78,0.079778916
2,71,2,86,1,89,0.321103644
3,7,3,80,3,75,0.079261956
1,14,1,84,1,80,0.507743854
1,55,1,85,1,90,0.501728986
2,34,2,79,1,85,0.32145782
1,49,1,92,2,85,0.503273274
1,58,1,80,1,75,0.501757661
3,26,3,71,1,75,0.075962387
2,30,2,80,2,70,0.334749048
2,24,2,87,2,82,0.331185103
3,9,3,67,1,75,0.079298523
2,38,2,69,2,88,0.32760108
3,44,3,87,3,73,0.076612873
3,15,3,85,1,78,0.077847218
2,20,2,74,2,75,0.330637062
2,1,2,83,2,76,0.324205267
2,9,1,89,2,84,0.327802262
1,23,1,76,1,88,0.503604014
1,1,1,89,3,80,0.501254222
2,20,2,88,2,81,0.322542618
3,17,3,80,3,74,0.078525677
2,64,2,88,2,80,0.327264986
3,79,2,80,3,75,0.076093521
1,21,1,80,1,85,0.501796392
3,57,1,89,3,78,0.078278674
1,28,1,83,1,82,0.506623506
1,17,1,94,1,93,0.50539135
1,62,1,92,1,86,0.506218364
3,66,3,85,3,75,0.075551409
3,79,3,72,3,69,0.077886251
2,40,2,73,3,69,0.330140788
2,77,2,77,2,78,0.328897098
3,52,3,78,1,83,0.076655041
1,44,1,89,1,90,0.506612391
2,35,2,75,2,81,0.327294307
2,2,2,83,2,81,0.320437406
