Actual Item Type,Contamination,IR Predicted Item,IR Confidence,SR Predicted Item,SR Confidence,Weight (kg)
2,46,2,85,2,80,0.326949349
3,24,3,85,3,82,0.077816715
2,56,2,77,2,88,0.323388525
3,41,3,76,3,86,0.076601243
1,36,1,75,1,89,0.505437702
3,10,1,77,3,82,0.076352048
3,15,3,82,3,86,0.076246455
1,6,1,94,1,94,0.508818714
3,53,1,86,3,74,0.078570314
3,27,3,73,3,80,0.078187089
2,59,2,72,2,75,0.322075332
1,37,3,71,1,80,0.507064909
2,30,2,69,2,72,0.323258079
3,42,3,77,3,76,0.079266405
1,27,1,91,1,79,0.503506057
3,28,3,73,3,68,0.076507506
1,55,1,75,1,83,0.507357578
3,10,3,80,3,87,0.075379912
1,31,1,80,1,80,0.502712833
1,71,2,83,1,86,0.500702864
1,5,1,85,1,83,0.505445428
1,55,1,75,1,76,0.501010267
3,35,3,74,3,81,0.07701236
2,24,2,71,2,76,0.329681959
1,39,1,92,1,90,0.505766959
1,40,1,86,1,82,0.507120732
3,24,3,71,3,70,0.079892093
1,65,1,86,1,88,0.500586771
1,62,1,77,1,81,0.504385526
3,58,3,79,3,69,0.078172687
2,49,1,79,2,68,0.325914312
2,33,2,70,2,75,0.33343341
3,52,3,85,3,71,0.07967809
2,44,1,75,2,75,0.324654812
2,21,2,70,3,76,0.330707686
2,49,2,77,2,87,0.324050986
3,41,3,73,3,69,0.077909063
2,60,2,76,2,88,0.320008663
2,1,3,84,3,72,0.331741249
3,60,3,72,3,72,0.075249309
2,78,2,83,2,88,0.332020844
3,57,3,80,3,74,0.077246461
3,40,2,86,3,85,0.075211901
3,40,3,75,2,75,0.078930011
1,49,2,83,1,81,0.507759872
1,37,1,91,1,92,0.504072128
2,79,2,81,2,73,0.325018469
1,57,1,81,1,92,0.506476082
1,52,1,75,1,89,0.508962497
2,32,2,83,3,72,0.32394721
2,33,3,69,3,82,0.334137885
3,24,3,76,3,87,0.077834042
1,14,1,81,1,82,0.503757927
1,16,1,84,1,92,0.505771442
2,65,1,93,2,69,0.333376138
3,34,3,69,1,80,0.075370407
3,60,3,70,3,71,0.075529691
2,80,3,83,2,83,0.32700267
3,12,1,82,3,68,0.078596456
1,61,1,80,3,86,0.500213636
3,2,3,72,3,86,0.076658113
3,61,3,70,3,72,0.078710091
3,31,3,78,3,83,0.077741464
2,45,3,85,2,79,0.328603862
3,38,3,77,3,69,0.07690348
2,15,2,81,2,71,0.322179965
3,76,2,72,3,86,0.079432688
1,22,3,81,1,78,0.500042076
2,13,1,93,2,88,0.321011846
2,65,2,74,2,74,0.329544629
1,54,1,86,1,93,0.503893574
3,0,3,72,3,69,0.076490169
2,9,2,84,2,75,0.320808273
1,26,1,75,1,85,0.503125126
2,47,2,85,2,78,0.329181739
2,5,2,86,2,86,0.32657871
2,4,2,71,2,85,0.322614628
3,15,3,74,3,73,0.079688595
3,39,3,85,3,72,0.079160116
1,80,1,87,3,87,0.502979722
3,80,3,78,2,88,0.078006184
3,35,3,84,3,86,0.078529112
2,6,2,79,2,70,0.326148945
3,57,3,72,1,82,0.079899537
1,76,1,94,1,76,0.506211959
1,44,2,75,1,76,0.508178033
2,4,2,85,2,88,0.321527318
3,59,3,69,3,84,0.079188347
3,0,3,71,3,87,0.078477583
1,65,1,75,1,76,0.504605974
1,50,3,85,3,77,0.502765448
3,47,3,74,1,76,0.078877179
2,69,2,86,2,76,0.330711168
2,63,2,76,2,86,0.321462524
1,11,1,94,1,75,0.508595295
2,67,3,87,3,79,0.329598647
1,68,1,78,1,78,0.500467458
3,28,3,74,2,71,0.077736517
3,23,3,71,3,71,0.077692885
1,75,2,86,1,94,0.505664951
2,49,1,84,1,84,0.334234823
3,76,2,78,2,79,0.079968691
2,66,1,79,2,72,0.324319993
2,33,2,88,2,70,0.334368912
2,68,2,72,2,84,0.322032994
2,29,3,78,3,78,0.330694208
3,65,3,78,3,80,0.079011093
3,20,2,77,3,76,0.079462954
1,44,1,93,1,83,0.501285159
3,44,3,80,3,74,0.075626493
2,21,1,83,2,86,0.329070715
1,78,1,89,1,79,0.504956832
3,33,3,69,3,72,0.07885126
2,13,2,74,2,70,0.327564934
2,45,1,92,1,77,0.326649251
3,13,3,67,3,67,0.079912562
3,27,3,80,3,83,0.075125998
1,49,2,83,1,90,0.504359746
2,13,1,91,1,81,0.323420221
1,74,1,81,1,87,0.500115628
1,37,1,84,1,92,0.50369029
1,48,1,92,3,84,0.507720145
3,4,3,85,3,82,0.077531575
1,13,1,82,1,76,0.500845237
1,64,1,90,1,75,0.50075102
1,15,1,80,1,82,0.505691784
3,14,3,67,3,72,0.079192141
3,14,3,70,3,74,0.079254426
1,31,1,84,1,82,0.502451004
2,78,2,72,1,77,0.322510585
2,0,2,79,2,70,0.324166231
2,51,2,86,2,82,0.32290841
1,77,1,83,1,87,0.504984571
3,3,3,70,1,88,0.075649877
3,60,1,88,3,72,0.075269986
2,12,2,78,2,73,0.320917901
3,60,3,71,3,79,0.078340372
3,78,1,89,1,90,0.076491445
2,19,2,68,2,80,0.331788305
2,22,2,78,2,88,0.320881671
2,75,2,68,2,84,0.328062803
2,3,1,83,2,81,0.334564765
2,0,2,74,1,83,0.329834529
2,29,2,69,2,80,0.333570973
3,36,3,84,1,84,0.077749871
2,15,2,74,2,74,0.328597679
3,37,1,84,3,73,0.07993467
2,39,2,86,2,82,0.327631238
2,6,2,83,2,78,0.330821393
1,44,1,87,1,86,0.506442411
